"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"67","159.71657089443158","13.954746413784646","101.04902027162933","74.14760322715993","83.45089556232381","237.22750987123797"
"68","291.15187286969615","17.552909063167967","90.94858483854875","69.42641888034949","89.27634703677685","204.01516684238035"
"69","160.85598553920988","14.788731759920106","113.69082818465503","46.62652532526715","72.65051672872369","160.655601819851"
"70","216.99754608170718","13.240036772760877","123.42882681263472","26.09772596308484","54.502924261362004","183.9907472449758"
"71","268.7334431644321","13.099113897779484","173.33191168460598","34.28051355787768","62.347111421636775","135.86456037257923"
"72","154.96543698373077","25.45286972585547","67.49179939075104","77.02158498325018","127.49774416165467","155.1622015748162"
"73","243.01037049485942","7.162684423947067","71.26481456631655","59.71313548508846","89.41516433895522","161.37048663675165"
"74","181.23579417584662","4.92952336464835","76.01102443323276","41.29653514854122","104.52138641881027","146.27275405676477"
"75","159.99540629223176","3.5797412897324445","82.95667269816404","74.93616009343478","76.74207496039612","176.52822611400634"
"76","184.45144820820224","3.014709448489971","87.17811109709825","20.4083447917395","52.33463441907812","119.43472416555056"
"77","210.0177002781656","2.4060781911705247","70.13502213813544","13.930715554503093","58.01388333239751","125.10529236418793"
"78","257.75189292131984","0.8387919750565007","78.11755569613011","55.311601557926664","87.439825534627","92.70853857522124"
"79","212.39035169115513","0.8717485433180447","104.79439613715908","37.341714541886645","82.4344816997958","166.44074920531054"
"80","162.26658359523032","0.7666966503639291","129.0654345844064","85.08020016474646","119.41940322498482","259.98589858740434"
"81","200.3206659073465","0.2781220704972738","81.28298035625163","104.66777701912532","81.2777135157562","255.42763702649302"
"82","302.6166899320856","0.847682486672827","84.4897080513304","115.01461504657873","83.15046781735097","86.12254971401848"
"83","154.56073361745962","0.0","72.51399983781819","160.95080574093743","75.14725597054208","97.52206761868418"
"84","115.30719980162344","0.0","163.75102065344967","301.5438925164511","44.97861754173363","113.07136645340549"
"85","164.5170310557607","0.0","64.12186235330772","327.71457217608724","63.42896610356691","150.95847429359384"
"86","187.77246467799236","0.0","67.6911226859599","183.69851042901115","67.64592588056959","103.85602813649523"
"87","188.1258757258314","0.0","105.26617284153302","187.79717188133503","48.40502651504074","190.84230394889602"
"88","251.7407499065433","0.0","66.90081321754575","308.9437699877456","54.605838266738644","158.30739303249513"
"89","172.65822304082323","0.0","54.879043039211346","287.81331271337444","46.01171827820506","249.53182164282646"
"90","133.1776327317565","0.0","66.83247969577185","192.27119554582558","84.59212311195922","222.54524799058197"
"91","250.6312535720041","0.0","144.387186427446","204.66825406884723","34.64957814616199","173.80284026383313"
"92","143.12739943547228","0.0","92.89661844938448","140.2335502080659","40.59291343463234","157.53878587652852"
"93","337.69060899558434","0.0","88.41883113347238","193.31044177007686","39.245377912170625","127.96519638677431"
"94","164.2412620443783","0.0","60.82679161558001","320.3071869889555","36.91853655712108","149.5962757460024"
"95","236.8375848100756","0.0","76.12075426246928","245.10370705771967","21.822047612283214","160.79440296247324"
"96","145.65188758233447","0.0","81.11113548966532","261.0179655888342","30.97842241087034","109.81989956035432"
"97","223.67435226814442","0.0","105.87763841127202","257.8432708513517","29.918876117545462","104.99024786494138"
"98","138.4117629005004","0.0","119.32421237249198","287.60196515530384","31.4726043976153","131.0066859217345"
