"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"64","1.488946986867182","-0.18645292903637423","1.5039584457808917","-0.04582725627814229","-0.3524560120091555","5.35901512108199"
"65","1.3224966532691456","-0.15404314376460035","1.411631146358989","-0.04520331988827699","-0.6544820342566215","5.964794798409672"
"66","-1.3495476226131293","-0.17704526089367534","1.2710485235100677","-0.03484021216334955","-0.586598869235428","6.13391543001474"
"67","-1.494265839761478","-0.18712245254596344","1.779743612699698","-0.08757809296066242","-0.5985847202550698","7.859343893152776"
"68","-2.327433307587077","-0.26970032234823516","2.2320441826665856","-0.22024423566467022","-0.5259418064391151","7.313373218188335"
"69","-1.5810309861711789","-0.24359674360787129","1.9805365486233277","-0.3100175885653281","-0.462837374142105","7.680376337182937"
"70","-1.8810345908912822","-0.25753760141095816","1.6240830944464049","-0.2790132619547179","-0.41157739412155875","7.390987546008393"
"71","-0.27750194631206127","-0.267336799036222","2.915426635390726","-0.2868841325461451","-0.4124513885914677","7.593115334174854"
"72","-0.3129469117945969","-0.35324649200917024","2.861368082626993","-0.446004700454559","-0.18501616776976948","7.461090309334253"
"73","0.3971839594696522","-0.37091363877370676","2.914422556165233","-0.3067024413326833","-0.05145326509905577","7.578184001131815"
"74","0.7249938604546474","-0.36285037995799047","2.952160754898758","-0.5098569583587803","0.26815913419591175","7.144118369783351"
"75","1.0378983300785674","-0.3671873523489417","3.0444974559673295","-0.3709211423959566","-0.06233650682340427","7.691160879696533"
"76","1.0905674722357979","-0.3734947476294723","3.0155389168556312","-0.35352996927001085","0.07747576019776363","7.827027453033566"
"77","2.1640640692171336","-0.37459172232162885","3.014873801360813","-0.3537976760144276","0.39742664376147624","7.644475879423092"
"78","4.059522669876487","-0.37068441309023487","2.8812872104918625","-0.3284081347393401","0.32036813491604","7.773159881485278"
"79","4.461300341746613","-0.37009104308485924","2.731226823810325","-0.2865960933151273","-0.04505986711095068","8.616346117998141"
"80","5.181898185928311","-0.3738782677166535","2.428106577219105","-0.18646249701675777","-0.4247104798547845","7.9239099253712855"
"81","7.062468972145042","-0.3731084047645512","2.6674678852155522","-0.5201332175044429","-0.6315858542066213","9.959215717962206"
"82","4.565788012294911","-0.37438024030420913","2.9452530279080524","-0.4258006146458591","-0.8211212752577921","9.973279420562035"
"83","4.984759741544174","-0.37438024030420913","2.863106799736631","-0.23944469935310397","-0.06526308873692468","10.1206194530955"
"84","6.086766806829494","-0.37438024030420913","3.5144075335695764","0.6411767619735307","-0.14733338306910973","10.393698273172786"
"85","8.047665237428117","-0.37438024030420913","3.5213818227757145","0.25350824929531646","-0.18274293464700775","10.061259178425768"
"86","7.800701613765878","-0.37438024030420913","3.3242551720447615","0.9600064873067774","0.009196932181834126","9.904567476316275"
"87","7.434429754846097","-0.37438024030420913","3.6550271961725285","1.2209509656635253","-0.06358638118881316","9.542551980694045"
"88","5.998593692672779","-0.37438024030420913","3.521552575895364","-0.3893114942708917","-0.17677896914021538","10.009041675953155"
"89","5.800335306402349","-0.37438024030420913","3.4034181749971917","-2.4220587051594977","-0.24390437532296186","9.583632939456875"
"90","6.321574486110945","-0.37438024030420913","3.3344097094384817","-2.559752307470965","-0.5694028897629761","10.534838342007115"
